ein,ntmaj10
202697387,HU
202699168,HE
202703647,HU
202709219,ED
202717185,EN
202720143,ED
202722606,EN
202726346,HE
202726446,HU
202727018,HU
202736415,HU
202737188,AR
202737498,HE
202737719,HE
202738955,AR
202740932,HU
202742194,HE
202743344,HU
202743852,HE
202745206,ED
202748215,HU
202748228,HU
202748370,HE
202750463,HU
202751642,HU
202751902,HE
202752128,HE
202752568,ED
202753780,HU
202754465,HU
202754671,HU
202754745,HU
202755049,HU
202756827,HE
202758563,ED
202758743,HU
202764334,ED
202764402,HE
202765851,AR
202766558,ED
202771448,HE
202776978,HE
202779553,HU
202780063,HU
202781007,AR
202781307,HE
202783473,AR
202784218,EN
202784718,AR
202787636,AR
202790010,HU
202790377,AR
202798387,HE
202801578,AR
202802514,HU
202805115,HU
202805962,HE
202807374,HU
202807552,AR
202809247,AR
202809525,HU
202810099,HU
202810853,HU
202814053,EN
202814388,ED
202815077,HU
202818094,HU
202822392,AR
202823927,HU
202825758,HU
202827226,ED
202831845,HU
202835309,EN
202838800,ED
202840767,ED
202842179,ED
202842656,HU
202844580,HU
202849590,HU
202852206,HE
202855094,EN
202858818,HU
202860927,HE
202861538,ED
202873266,HU
202874701,EN
202875649,HU
202877798,HU
202880838,AR
202885113,HU
202886272,HU
202888384,HE
202892699,HU
202893390,HU
202896806,HU
202897110,HE
202904148,ED
202905491,HE
202908351,HE
202910382,ED
202915052,HU
202915853,HU
202924170,ED
202925281,AR
202930028,ED
202930966,HU
202931476,ED
202932676,HE
202933664,EN
202935375,AR
202937952,HU
202938326,AR
202938710,HE
202939474,HU
202939658,HE
202943378,HU
202950456,HU
202952274,HU
202953047,HE
202959012,HE
202963377,HU
202968106,ED
202969610,HE
202975553,HU
202977377,HU
202980925,ED
202990972,HU
202997260,AR
203003808,AR
203004257,HU
203005804,HE
203011934,HU
203017832,AR
203017930,ED
203022352,AR
203033058,HE
203033220,EN
203035057,AR
203035691,ED
203041676,HU
203042246,ED
203045465,ED
203047808,HU
203058612,AR
203061124,HU
203067122,AR
203092957,ED
203093487,AR
203094906,EN
203096784,HU
203097141,HU
203098153,HU
203100113,HU
203100646,HU
203101203,HU
203105066,HU
203109410,HU
203112832,HE
203117852,HU
203118796,ED
203124190,HU
203124928,HU
203131269,ED
203134401,HU
203139297,HE
203139411,HU
203142878,HU
203148654,EN
203153378,HU
203153855,EN
203155644,EN
203160685,ED
203162703,ED
203164154,HU
203165651,HU
203180435,HU
203182463,ED
203186062,AR
203191639,HU
203192736,HU
203193765,AR
203206214,HE
203207656,EN
203210212,HE
203210686,HU
203210841,HU
203212866,HU
203215100,HU
203216631,EN
203217272,HU
203217290,ED
203217742,HU
203218727,AR
203221020,HU
203221418,ED
203222740,ED
203231548,HE
203232026,HE
203232112,HE
203232664,HU
203234053,ED
203236643,HE
203238667,HU
203238919,HU
203243103,HU
203246676,ED
203247829,HU
203253257,EN
203253349,HE
203254963,AR
203256861,HU
203258835,HU
203261266,HE
203273681,HU
203274732,ED
203275291,EN
203278072,ED
203280546,ED
203281251,AR
203284553,HU
203286435,EN
203289362,HU
203296990,HE
203297449,AR
203303713,HU
203303738,AR
203306986,HU
203314850,HU
203318151,HU
203322716,HU
203324449,HU
203331176,HU
203337607,HU
203342815,HU
203345087,HE
203349308,AR
203352927,HU
203356119,ED
203361913,HU
203362160,HU
203363249,HU
203364814,HU
203366845,AR
203367446,HU
203372800,HU
203373214,HE
203379234,ED
203382175,EN
203382296,HE
203383271,HE
203386373,AR
203391180,HU
203392720,ED
203393483,ED
203393502,HU
203396610,HU
203396995,HE
203404538,HU
203406844,HU
203406894,HU
203411554,AR
203417567,HE
203419468,HU
203422275,HU
203428111,AR
203429223,AR
203434861,ED
203434991,HU
203436134,HU
203439127,HU
203439907,AR
203443190,ED
203446319,HU
203447694,HU
203451370,HE
203453034,HU
203453422,ED
203453466,ED
203462397,HE
203468566,HU
203469938,EN
203482711,ED
203485320,HU
203485756,HU
203489688,HU
203491662,AR
203491800,ED
203496988,HU
203497428,HU
203498666,HU
203499880,HE
203504273,ED
203507020,HE
203507593,EN
203507918,HE
203512569,ED
203516720,AR
203518709,HU
203519054,HU
203521473,HU
203523739,HU
203530878,HE
203531002,HU
203531158,HE
203531527,HE
203536274,HU
203537580,HU
203540878,ED
203549247,EN
203549310,ED
203550536,HU
203551123,HU
203553957,HU
203554521,ED
203555115,ED
203558997,AR
203572569,EN
203573125,HU
203575951,EN
203578328,HU
203581816,HU
203583952,HE
203585461,HU
203588991,AR
203592215,ED
203594499,AR
203597185,ED
203602085,AR
203603702,AR
203606470,HU
203612038,HU
203613044,ED
203617119,ED
203619470,HU
203621215,HU
203625660,HU
203626011,HE
203630505,HU
203631134,AR
203639291,HU
203643567,AR
203646884,HU
203650965,HU
203656494,HU
203664525,EN
203666775,HE
203667162,HE
203669730,EN
203671056,HU
203672921,HE
203675715,HU
203675989,ED
203677123,AR
203680518,HU
203684085,HE
203687126,HU
203693928,HU
203698085,HU
203702536,HU
203708656,AR
